RK,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
1,Nikola Jokic, C,DEN,69,33.7,0.632,0.822,0.8,11.8,9.8,1.3,0.7,3.6,24.5,55.6
2,Joel Embiid, C,PHI,66,34.6,0.548,0.857,1,10.2,4.2,1,1.7,3.4,33.1,55.4
3,Luka Doncic, PG,DAL,66,36.2,0.496,0.742,2.8,8.6,8,1.4,0.5,3.6,32.4,55
4,Giannis Antetokounmpo, PF,MIL,63,32.1,0.553,0.645,0.7,11.8,5.7,0.8,0.8,3.9,31.1,52.9
5,Damian Lillard, PG,POR,58,36.3,0.463,0.914,4.2,4.8,7.3,0.9,0.3,3.3,32.2,50.5
6,LeBron James, SF,LAL,55,35.5,0.5,0.768,2.2,8.3,6.8,0.9,0.6,3.2,28.9,49.6
7,Shai Gilgeous-Alexander, PG,OKC,68,35.5,0.51,0.905,0.9,4.8,5.5,1.6,1,2.8,31.4,49.3
8,Kevin Durant, PF,PHO,47,35.6,0.56,0.919,2,6.7,5,0.7,1.4,3.3,29.1,49.1
9,Jayson Tatum, SF,BOS,74,36.9,0.466,0.854,3.2,8.8,4.6,1.1,0.7,2.9,30.1,48.6
10,Anthony Davis, PF,LAL,56,34,0.563,0.784,0.3,12.5,2.6,1.1,2,2.2,25.9,48.6
11,Stephen Curry, PG,GSW,56,34.7,0.493,0.915,4.9,6.1,6.3,0.9,0.4,3.2,29.4,48.5
12,Domantas Sabonis, PF,SAC,79,34.6,0.615,0.742,0.4,12.3,7.3,0.8,0.5,2.9,19.1,44.8
13,Kyrie Irving, PG,DAL,60,37.4,0.494,0.905,3.1,5.1,5.5,1.1,0.8,2.1,27.1,44.5
14,Ja Morant, PG,MEM,61,31.9,0.466,0.748,1.5,5.9,8.1,1.1,0.3,3.4,26.2,43.8
15,James Harden, SG,PHI,58,36.8,0.441,0.867,2.8,6.1,10.7,1.2,0.5,3.4,21,43.6
16,Trae Young, PG,ATL,73,34.8,0.43,0.886,2.1,3,10.2,1.1,0.1,4.1,26.2,43.5
17,Zion Williamson, PF,NOR,29,33,0.608,0.714,0.2,7,4.6,1.1,0.6,3.4,26,43.3
18,Devin Booker, SG,PHO,53,34.6,0.494,0.855,2.1,4.5,5.5,1,0.3,2.7,27.8,43
19,Donovan Mitchell, SG,CLE,68,35.8,0.484,0.867,3.6,4.3,4.4,1.5,0.4,2.6,28.3,42.7
20,Tyrese Haliburton, PG,IND,56,33.6,0.49,0.871,2.9,3.7,10.4,1.6,0.4,2.5,20.7,42.6
21,Pascal Siakam, PF,TOR,71,37.4,0.48,0.774,1.3,7.8,5.8,0.9,0.5,2.4,24.2,42.1
22,Julius Randle, PF,NYK,77,35.5,0.46,0.757,2.8,10,4.1,0.6,0.3,2.8,25.1,41.8
23,LaMelo Ball, PG,CHA,36,35.2,0.411,0.843,4,6.4,8.4,1.3,0.3,3.6,23.3,41.8
24,Lauri Markkanen, PF,UTH,66,34.4,0.499,0.875,3,8.6,1.9,0.6,0.6,1.9,25.6,40.9
25,Jaylen Brown, SG,BOS,67,35.9,0.491,0.765,2.4,6.9,3.5,1.1,0.4,2.9,26.6,40.9
26,Jimmy Butler, SF,MIA,64,33.4,0.539,0.85,0.6,5.9,5.3,1.8,0.3,1.6,22.9,40.8
27,De'Aaron Fox, PG,SAC,73,33.4,0.512,0.78,1.6,4.2,6.1,1.1,0.3,2.5,25,40.8
28,Kawhi Leonard, SF,LAC,52,33.6,0.512,0.871,2,6.5,3.9,1.4,0.5,1.7,23.8,40.4
29,Brandon Ingram, SF,NOR,45,34.2,0.484,0.882,1.4,5.5,5.8,0.7,0.4,3.3,24.7,40.1
30,Kristaps Porzingis, C,WAS,65,32.6,0.498,0.851,2.1,8.4,2.7,0.9,1.5,2.1,23.2,40
31,DeMar DeRozan, SF,CHI,74,36.2,0.504,0.872,0.6,4.6,5.1,1.1,0.5,2.1,24.5,39.7
32,Paul George, F,LAC,56,34.6,0.457,0.871,2.8,6.1,5.1,1.5,0.4,3.1,23.8,39.3
33,Jalen Brunson, PG,NYK,68,35,0.491,0.829,2,3.5,6.2,0.9,0.2,2.1,24,38.8
34,Anthony Edwards, SG,MIN,79,36,0.459,0.756,2.7,5.8,4.4,1.6,0.7,3.3,24.6,38.8
35,Karl-Anthony Towns, C,MIN,29,33,0.495,0.874,2.1,8.1,4.8,0.7,0.6,3,20.8,38
36,Zach LaVine, SG,CHI,77,35.9,0.485,0.848,2.6,4.5,4.2,0.9,0.2,2.5,24.8,37.9
37,Bradley Beal, SG,WAS,50,33.5,0.506,0.842,1.6,3.9,5.4,0.9,0.7,2.9,23.2,37.6
38,Bam Adebayo, C,MIA,75,34.6,0.54,0.806,0,9.2,3.2,1.2,0.8,2.5,20.4,37.4
39,Darius Garland, PG,CLE,69,35.5,0.462,0.863,2.4,2.7,7.8,1.2,0.1,2.9,21.6,36.8
40,Jrue Holiday, PG,MIL,67,32.6,0.479,0.859,2.4,5.1,7.4,1.2,0.4,2.9,19.3,36.7
41,Nikola Vucevic, C,CHI,82,33.5,0.52,0.835,1.5,11,3.2,0.7,0.7,1.7,17.6,36.5
42,Dejounte Murray, SG,ATL,74,36.4,0.464,0.832,1.8,5.3,6.1,1.5,0.3,2.2,20.5,36.3
43,RaiQuan Gray, F,BKN,1,35,0.5,1,2,9,7,0,1,4,16,36.1
44,Desmond Bane, SG,MEM,58,31.7,0.479,0.883,2.9,5,4.4,1,0.4,2.2,21.5,35.5
45,Fred VanVleet, SG,TOR,69,36.7,0.393,0.898,3,4.1,7.2,1.8,0.6,2,19.3,35.2
46,CJ McCollum, SG,NOR,75,35.3,0.437,0.769,2.8,4.4,5.7,0.9,0.5,2.4,20.9,34.4
47,Deandre Ayton, C,PHO,67,30.4,0.589,0.76,0.1,10,1.7,0.6,0.8,1.8,18,34.2
48,Jamal Murray, PG,DEN,65,32.8,0.454,0.833,2.6,4,6.2,1,0.2,2.2,20,34.2
49,Kyle Kuzma, SF,WAS,64,35,0.448,0.73,2.5,7.2,3.7,0.6,0.5,3,21.2,34
50,Josh Giddey, SG,OKC,76,31.1,0.482,0.731,1,7.9,6.2,0.8,0.4,2.8,16.6,33.9
51,Cade Cunningham, PG,DET,12,33.3,0.415,0.837,1.4,6.2,6,0.8,0.6,3.3,19.9,33.9
52,Kevin Porter Jr., SG,HOU,59,34.3,0.442,0.784,2.4,5.3,5.7,1.4,0.3,3.2,19.2,33.3
53,Jaren Jackson Jr., PF,MEM,63,28.4,0.506,0.788,1.6,6.8,1,1,3,1.7,18.6,33.1
54,Myles Turner, C,IND,62,29.4,0.548,0.783,1.5,7.5,1.4,0.6,2.3,1.7,18,33.1
55,Evan Mobley, PF,CLE,79,34.4,0.554,0.674,0.3,9,2.8,0.8,1.5,1.8,16.2,32.9
